Phase,Current,Normalized Current,Freq Bin,Signal Type,Speed
0.03,133.51985,0.3591661,25–35,Inhibitory,slow
0.05,134.916,0.36117858,25–35,Inhibitory,slow
0.07,136.04013,0.36324614,25–35,Inhibitory,slow
0.09,137.32243,0.36512893,25–35,Inhibitory,slow
0.11,137.97046,0.3671576,25–35,Inhibitory,slow
0.13,139.48889,0.3717248,25–35,Inhibitory,slow
0.15000000000000002,140.45534,0.37652555,25–35,Inhibitory,slow
0.16999999999999998,141.05199,0.38250482,25–35,Inhibitory,slow
0.19,141.6233,0.38619536,25–35,Inhibitory,slow
0.21000000000000002,141.6415,0.3869886,25–35,Inhibitory,slow
0.22999999999999998,141.25537,0.3874174,25–35,Inhibitory,slow
0.25,140.9398,0.3871031,25–35,Inhibitory,slow
0.27,140.59943,0.38591143,25–35,Inhibitory,slow
0.29000000000000004,140.22943,0.38463888,25–35,Inhibitory,slow
0.31,140.39557,0.38437518,25–35,Inhibitory,slow
0.33,139.39146,0.37937978,25–35,Inhibitory,slow
0.35,138.88809,0.37653565,25–35,Inhibitory,slow
0.37,138.5579,0.37524188,25–35,Inhibitory,slow
0.39,139.19138,0.37880275,25–35,Inhibitory,slow
0.41000000000000003,140.15886,0.38488963,25–35,Inhibitory,slow
0.43,142.04985,0.39429143,25–35,Inhibitory,slow
0.45,144.63019,0.41290846,25–35,Inhibitory,slow
0.47,147.33171,0.43403712,25–35,Inhibitory,slow
0.49,150.29433,0.4529901,25–35,Inhibitory,slow
0.51,152.35239,0.4620171,25–35,Inhibitory,slow
0.53,155.29796,0.4771771,25–35,Inhibitory,slow
0.55,158.17934,0.4930178,25–35,Inhibitory,slow
0.5700000000000001,160.65631,0.5055951,25–35,Inhibitory,slow
0.59,163.52911,0.5236898,25–35,Inhibitory,slow
0.61,165.32352,0.5382252,25–35,Inhibitory,slow
0.63,166.09985,0.54928297,25–35,Inhibitory,slow
0.65,166.90887,0.5539954,25–35,Inhibitory,slow
0.67,166.1743,0.54930365,25–35,Inhibitory,slow
0.69,164.89746,0.5428442,25–35,Inhibitory,slow
0.71,163.557,0.53376377,25–35,Inhibitory,slow
0.73,161.64795,0.5212898,25–35,Inhibitory,slow
0.75,159.23561,0.5048675,25–35,Inhibitory,slow
0.77,156.86032,0.48755074,25–35,Inhibitory,slow
0.79,154.2612,0.46844244,25–35,Inhibitory,slow
0.81,151.6523,0.4467327,25–35,Inhibitory,slow
0.83,149.0373,0.4259298,25–35,Inhibitory,slow
0.85,146.6234,0.40556633,25–35,Inhibitory,slow
0.87,143.96107,0.38361084,25–35,Inhibitory,slow
0.89,141.27766,0.3600595,25–35,Inhibitory,slow
0.91,138.69614,0.33783603,25–35,Inhibitory,slow
0.9299999999999999,136.6361,0.3197778,25–35,Inhibitory,slow
0.95,134.38127,0.3014827,25–35,Inhibitory,slow
0.97,132.24136,0.2845494,25–35,Inhibitory,slow
0.99,130.11183,0.26842502,25–35,Inhibitory,slow
0.0095,167.66203,0.39279667,15–25,Inhibitory,slow
0.03,166.37675,0.3770846,15–25,Inhibitory,slow
0.05,164.17848,0.36181512,15–25,Inhibitory,slow
0.07,160.994,0.34409583,15–25,Inhibitory,slow
0.09,159.99936,0.3365341,15–25,Inhibitory,slow
0.11,157.83806,0.33045912,15–25,Inhibitory,slow
0.13,158.8433,0.33758858,15–25,Inhibitory,slow
0.15000000000000002,163.23534,0.34507978,15–25,Inhibitory,slow
0.16999999999999998,164.68977,0.34947467,15–25,Inhibitory,slow
0.19,167.41626,0.34886277,15–25,Inhibitory,slow
0.21000000000000002,167.95561,0.35142687,15–25,Inhibitory,slow
0.22999999999999998,168.56853,0.35345015,15–25,Inhibitory,slow
0.25,176.1721,0.3668369,15–25,Inhibitory,slow
0.27,179.98067,0.37142274,15–25,Inhibitory,slow
0.29000000000000004,179.93335,0.3606942,15–25,Inhibitory,slow
0.31,177.78658,0.3537536,15–25,Inhibitory,slow
0.33,176.216,0.35043523,15–25,Inhibitory,slow
0.35,175.56256,0.34810844,15–25,Inhibitory,slow
0.37,175.98663,0.34615338,15–25,Inhibitory,slow
0.39,175.88838,0.3510768,15–25,Inhibitory,slow
0.41000000000000003,177.87416,0.37200344,15–25,Inhibitory,slow
0.43,181.87714,0.3928024,15–25,Inhibitory,slow
0.45,182.80267,0.40248773,15–25,Inhibitory,slow
0.47,189.46306,0.41953525,15–25,Inhibitory,slow
0.49,192.19507,0.42079028,15–25,Inhibitory,slow
0.51,191.31036,0.4315928,15–25,Inhibitory,slow
0.53,190.1945,0.43097487,15–25,Inhibitory,slow
0.55,192.6585,0.4360428,15–25,Inhibitory,slow
0.5700000000000001,195.74428,0.44310662,15–25,Inhibitory,slow
0.59,196.32379,0.44321278,15–25,Inhibitory,slow
0.61,197.09752,0.44122732,15–25,Inhibitory,slow
0.63,198.82439,0.4480392,15–25,Inhibitory,slow
0.65,198.27167,0.43447515,15–25,Inhibitory,slow
0.67,196.76457,0.4194509,15–25,Inhibitory,slow
0.69,196.03145,0.41416845,15–25,Inhibitory,slow
0.71,194.81818,0.40580663,15–25,Inhibitory,slow
0.73,192.68187,0.40406346,15–25,Inhibitory,slow
0.75,189.1139,0.39196613,15–25,Inhibitory,slow
0.77,185.09749,0.37534606,15–25,Inhibitory,slow
0.79,181.08177,0.36126208,15–25,Inhibitory,slow
0.81,176.38348,0.334633,15–25,Inhibitory,slow
0.83,173.30524,0.3148875,15–25,Inhibitory,slow
0.85,170.85423,0.29575673,15–25,Inhibitory,slow
0.87,168.30348,0.28505024,15–25,Inhibitory,slow
0.89,164.86131,0.26691058,15–25,Inhibitory,slow
0.91,161.3814,0.2543439,15–25,Inhibitory,slow
0.9299999999999999,158.15318,0.24418686,15–25,Inhibitory,slow
0.95,154.68788,0.22323953,15–25,Inhibitory,slow
0.97,151.94585,0.21272701,15–25,Inhibitory,slow
0.99,149.27168,0.20043795,15–25,Inhibitory,slow
0.0095,-79.0033,0.48526654,25–35,Excitatory,slow
0.03,-81.38396,0.47201374,25–35,Excitatory,slow
0.05,-81.83363,0.46602982,25–35,Excitatory,slow
0.07,-82.2908,0.464992,25–35,Excitatory,slow
0.09,-82.59857,0.46644032,25–35,Excitatory,slow
0.11,-82.01883,0.47058296,25–35,Excitatory,slow
0.13,-80.45863,0.48075908,25–35,Excitatory,slow
0.15000000000000002,-78.781364,0.49686608,25–35,Excitatory,slow
0.16999999999999998,-76.91869,0.51602787,25–35,Excitatory,slow
0.19,-75.11219,0.5367794,25–35,Excitatory,slow
0.21000000000000002,-73.122604,0.5591987,25–35,Excitatory,slow
0.22999999999999998,-71.07658,0.58098954,25–35,Excitatory,slow
0.25,-69.11951,0.60263866,25–35,Excitatory,slow
0.27,-67.6737,0.6209318,25–35,Excitatory,slow
0.29000000000000004,-66.1244,0.63755465,25–35,Excitatory,slow
0.31,-64.54576,0.65455407,25–35,Excitatory,slow
0.33,-63.19184,0.67044306,25–35,Excitatory,slow
0.35,-61.95317,0.68836194,25–35,Excitatory,slow
0.37,-60.81998,0.70188266,25–35,Excitatory,slow
0.39,-59.84896,0.7141441,25–35,Excitatory,slow
0.41000000000000003,-59.124584,0.7244669,25–35,Excitatory,slow
0.43,-58.37413,0.7338505,25–35,Excitatory,slow
0.45,-57.773766,0.74211323,25–35,Excitatory,slow
0.47,-57.179386,0.7503453,25–35,Excitatory,slow
0.49,-56.6699,0.7591713,25–35,Excitatory,slow
0.51,-56.172253,0.76614606,25–35,Excitatory,slow
0.53,-55.66244,0.77389747,25–35,Excitatory,slow
0.55,-55.30188,0.78155637,25–35,Excitatory,slow
0.5700000000000001,-55.19989,0.7827636,25–35,Excitatory,slow
0.59,-54.99404,0.78624517,25–35,Excitatory,slow
0.61,-54.842014,0.7890418,25–35,Excitatory,slow
0.63,-54.418808,0.7945099,25–35,Excitatory,slow
0.65,-54.284023,0.79694194,25–35,Excitatory,slow
0.67,-54.40721,0.7944705,25–35,Excitatory,slow
0.69,-54.471733,0.79294086,25–35,Excitatory,slow
0.71,-54.57318,0.7898456,25–35,Excitatory,slow
0.73,-55.05816,0.7829738,25–35,Excitatory,slow
0.75,-55.265625,0.7774354,25–35,Excitatory,slow
0.77,-56.131207,0.7681143,25–35,Excitatory,slow
0.79,-56.646965,0.758973,25–35,Excitatory,slow
0.81,-57.384655,0.74412495,25–35,Excitatory,slow
0.83,-58.21771,0.7268946,25–35,Excitatory,slow
0.85,-59.424725,0.70586336,25–35,Excitatory,slow
0.87,-60.624073,0.68471545,25–35,Excitatory,slow
0.89,-62.097008,0.6622118,25–35,Excitatory,slow
0.91,-63.811756,0.6403111,25–35,Excitatory,slow
0.9299999999999999,-65.75946,0.6091668,25–35,Excitatory,slow
0.95,-67.68443,0.58008665,25–35,Excitatory,slow
0.97,-69.88144,0.55305064,25–35,Excitatory,slow
0.99,-72.27805,0.5300183,25–35,Excitatory,slow
0.0095,-83.70601,0.5397573,15–25,Excitatory,slow
0.03,-84.744545,0.51851696,15–25,Excitatory,slow
0.05,-86.00395,0.49404186,15–25,Excitatory,slow
0.07,-86.55693,0.47611067,15–25,Excitatory,slow
0.09,-87.275826,0.46505895,15–25,Excitatory,slow
0.11,-87.29284,0.45874318,15–25,Excitatory,slow
0.13,-87.8564,0.44927603,15–25,Excitatory,slow
0.15000000000000002,-87.52928,0.4484143,15–25,Excitatory,slow
0.16999999999999998,-87.52689,0.4482711,15–25,Excitatory,slow
0.19,-86.666084,0.45824236,15–25,Excitatory,slow
0.21000000000000002,-86.41295,0.4649264,15–25,Excitatory,slow
0.22999999999999998,-85.65114,0.47898442,15–25,Excitatory,slow
0.25,-84.888565,0.48869643,15–25,Excitatory,slow
0.27,-83.820244,0.5071865,15–25,Excitatory,slow
0.29000000000000004,-83.148834,0.52198505,15–25,Excitatory,slow
0.31,-82.30831,0.5371886,15–25,Excitatory,slow
0.33,-81.322556,0.55471313,15–25,Excitatory,slow
0.35,-80.601685,0.56870383,15–25,Excitatory,slow
0.37,-79.820366,0.5838016,15–25,Excitatory,slow
0.39,-79.06723,0.6000089,15–25,Excitatory,slow
0.41000000000000003,-78.44527,0.613917,15–25,Excitatory,slow
0.43,-77.61629,0.62887794,15–25,Excitatory,slow
0.45,-77.10638,0.64167804,15–25,Excitatory,slow
0.47,-76.84076,0.6492117,15–25,Excitatory,slow
0.49,-76.16722,0.6649126,15–25,Excitatory,slow
0.51,-75.50231,0.67801803,15–25,Excitatory,slow
0.53,-75.22027,0.6852092,15–25,Excitatory,slow
0.55,-74.865456,0.69464993,15–25,Excitatory,slow
0.5700000000000001,-74.32579,0.7075459,15–25,Excitatory,slow
0.59,-73.87799,0.7184484,15–25,Excitatory,slow
0.61,-73.63646,0.72911114,15–25,Excitatory,slow
0.63,-73.23962,0.73821557,15–25,Excitatory,slow
0.65,-72.95738,0.746976,15–25,Excitatory,slow
0.67,-72.8336,0.7528565,15–25,Excitatory,slow
0.69,-72.75193,0.756449,15–25,Excitatory,slow
0.71,-72.81414,0.75673074,15–25,Excitatory,slow
0.73,-72.87807,0.7581793,15–25,Excitatory,slow
0.75,-72.88901,0.7589999,15–25,Excitatory,slow
0.77,-72.98144,0.75689703,15–25,Excitatory,slow
0.79,-72.975716,0.75649244,15–25,Excitatory,slow
0.81,-73.31964,0.7513501,15–25,Excitatory,slow
0.83,-73.37097,0.74731696,15–25,Excitatory,slow
0.85,-73.65219,0.7387517,15–25,Excitatory,slow
0.87,-74.16831,0.72696406,15–25,Excitatory,slow
0.89,-75.17263,0.70479417,15–25,Excitatory,slow
0.91,-76.16557,0.686685,15–25,Excitatory,slow
0.9299999999999999,-77.0967,0.66711754,15–25,Excitatory,slow
0.95,-78.40319,0.64053756,15–25,Excitatory,slow
0.97,-79.550415,0.618707,15–25,Excitatory,slow
0.99,-80.562065,0.59941155,15–25,Excitatory,slow
0.0095,-133.30301,0.52279484,35–45,Excitatory,slow
0.03,-140.1202,0.4792711,35–45,Excitatory,slow
0.05,-143.41853,0.45940524,35–45,Excitatory,slow
0.07,-142.27219,0.4608012,35–45,Excitatory,slow
0.09,-141.26686,0.4673003,35–45,Excitatory,slow
0.11,-138.69391,0.47707355,35–45,Excitatory,slow
0.13,-138.0082,0.4956437,35–45,Excitatory,slow
0.15000000000000002,-134.10754,0.5143752,35–45,Excitatory,slow
0.16999999999999998,-127.54153,0.5425105,35–45,Excitatory,slow
0.19,-125.25085,0.56290764,35–45,Excitatory,slow
0.21000000000000002,-122.067604,0.58780843,35–45,Excitatory,slow
0.22999999999999998,-116.858925,0.60881704,35–45,Excitatory,slow
0.25,-114.520164,0.6297137,35–45,Excitatory,slow
0.27,-111.79292,0.6498617,35–45,Excitatory,slow
0.29000000000000004,-107.42212,0.6742932,35–45,Excitatory,slow
0.31,-104.45,0.6885838,35–45,Excitatory,slow
0.33,-100.24676,0.7103889,35–45,Excitatory,slow
0.35,-98.29854,0.72535276,35–45,Excitatory,slow
0.37,-94.69989,0.7436858,35–45,Excitatory,slow
0.39,-91.825195,0.75534534,35–45,Excitatory,slow
0.41000000000000003,-88.52406,0.7707748,35–45,Excitatory,slow
0.43,-86.21418,0.7802483,35–45,Excitatory,slow
0.45,-84.2783,0.79138947,35–45,Excitatory,slow
0.47,-81.20533,0.8039296,35–45,Excitatory,slow
0.49,-80.0478,0.81152594,35–45,Excitatory,slow
0.51,-78.04802,0.8186943,35–45,Excitatory,slow
0.53,-76.879684,0.823706,35–45,Excitatory,slow
0.55,-75.07888,0.8313083,35–45,Excitatory,slow
0.5700000000000001,-74.475746,0.8344335,35–45,Excitatory,slow
0.59,-74.492386,0.8341669,35–45,Excitatory,slow
0.61,-73.39519,0.84099984,35–45,Excitatory,slow
0.63,-73.29874,0.8416325,35–45,Excitatory,slow
0.65,-72.69917,0.8441273,35–45,Excitatory,slow
0.67,-72.51271,0.841909,35–45,Excitatory,slow
0.69,-72.70119,0.84148216,35–45,Excitatory,slow
0.71,-72.29549,0.84001875,35–45,Excitatory,slow
0.73,-72.74953,0.8370412,35–45,Excitatory,slow
0.75,-73.11388,0.83093524,35–45,Excitatory,slow
0.77,-74.11337,0.8202669,35–45,Excitatory,slow
0.79,-74.86819,0.8152123,35–45,Excitatory,slow
0.81,-76.21147,0.8033369,35–45,Excitatory,slow
0.83,-77.950226,0.7919144,35–45,Excitatory,slow
0.85,-80.02339,0.7740804,35–45,Excitatory,slow
0.87,-81.99211,0.7527376,35–45,Excitatory,slow
0.89,-83.96358,0.73783106,35–45,Excitatory,slow
0.91,-87.685715,0.71982247,35–45,Excitatory,slow
0.9299999999999999,-93.215965,0.6919178,35–45,Excitatory,slow
0.95,-97.67894,0.6606834,35–45,Excitatory,slow
0.97,-104.08586,0.6210476,35–45,Excitatory,slow
0.99,-112.12372,0.57657367,35–45,Excitatory,slow
0.0095,-71.24586,0.60127896,45+,Excitatory,slow
0.03,-75.51953,0.5727565,45+,Excitatory,slow
0.05,-76.01191,0.5550392,45+,Excitatory,slow
0.07,-72.91613,0.56963116,45+,Excitatory,slow
0.09,-74.51557,0.53369904,45+,Excitatory,slow
0.11,-74.35651,0.5212594,45+,Excitatory,slow
0.13,-74.11685,0.5167683,45+,Excitatory,slow
0.15000000000000002,-72.94541,0.5330905,45+,Excitatory,slow
0.16999999999999998,-73.313965,0.52530557,45+,Excitatory,slow
0.19,-71.78568,0.54015297,45+,Excitatory,slow
0.21000000000000002,-70.68653,0.56343555,45+,Excitatory,slow
0.22999999999999998,-69.64491,0.57237536,45+,Excitatory,slow
0.25,-67.70834,0.59033716,45+,Excitatory,slow
0.27,-66.51145,0.6009175,45+,Excitatory,slow
0.29000000000000004,-65.35155,0.6153375,45+,Excitatory,slow
0.31,-63.821835,0.6333134,45+,Excitatory,slow
0.33,-61.833496,0.6522778,45+,Excitatory,slow
0.35,-60.973625,0.65489906,45+,Excitatory,slow
0.37,-59.360046,0.67191684,45+,Excitatory,slow
0.39,-58.016132,0.6975696,45+,Excitatory,slow
0.41000000000000003,-57.71316,0.7067743,45+,Excitatory,slow
0.43,-56.26939,0.7213652,45+,Excitatory,slow
0.45,-55.492462,0.73381805,45+,Excitatory,slow
0.47,-56.951637,0.7343421,45+,Excitatory,slow
0.49,-56.971558,0.74367416,45+,Excitatory,slow
0.51,-55.03258,0.75826114,45+,Excitatory,slow
0.53,-52.573273,0.7702074,45+,Excitatory,slow
0.55,-52.85662,0.77206916,45+,Excitatory,slow
0.5700000000000001,-53.66269,0.77519983,45+,Excitatory,slow
0.59,-52.20966,0.79288685,45+,Excitatory,slow
0.61,-51.7958,0.7967897,45+,Excitatory,slow
0.63,-52.930294,0.7930533,45+,Excitatory,slow
0.65,-54.186954,0.783203,45+,Excitatory,slow
0.67,-53.707333,0.78633845,45+,Excitatory,slow
0.69,-51.45093,0.80155337,45+,Excitatory,slow
0.71,-51.35797,0.7966626,45+,Excitatory,slow
0.73,-52.10497,0.7910684,45+,Excitatory,slow
0.75,-53.3743,0.7763752,45+,Excitatory,slow
0.77,-54.307564,0.77345175,45+,Excitatory,slow
0.79,-55.11425,0.76796925,45+,Excitatory,slow
0.81,-55.264812,0.7682017,45+,Excitatory,slow
0.83,-55.74826,0.74434227,45+,Excitatory,slow
0.85,-57.48204,0.7335292,45+,Excitatory,slow
0.87,-58.356934,0.74257517,45+,Excitatory,slow
0.89,-60.110924,0.7240003,45+,Excitatory,slow
0.91,-61.419605,0.69862896,45+,Excitatory,slow
0.9299999999999999,-62.924145,0.6886263,45+,Excitatory,slow
0.95,-63.0227,0.68205476,45+,Excitatory,slow
0.97,-64.92441,0.6655451,45+,Excitatory,slow
0.99,-66.56815,0.6416379,45+,Excitatory,slow
0.0095,408.2917,0.43139973,35–45,Inhibitory,fast
0.03,402.75732,0.4078607,35–45,Inhibitory,fast
0.05,398.53003,0.3867861,35–45,Inhibitory,fast
0.07,397.19806,0.37416473,35–45,Inhibitory,fast
0.09,395.35406,0.36284596,35–45,Inhibitory,fast
0.11,395.08636,0.36096153,35–45,Inhibitory,fast
0.13,392.79788,0.35621262,35–45,Inhibitory,fast
0.15000000000000002,390.01907,0.3566741,35–45,Inhibitory,fast
0.16999999999999998,389.73,0.3655959,35–45,Inhibitory,fast
0.19,386.45126,0.36227813,35–45,Inhibitory,fast
0.21000000000000002,384.15738,0.36112252,35–45,Inhibitory,fast
0.22999999999999998,381.67474,0.3580023,35–45,Inhibitory,fast
0.25,382.3633,0.36384472,35–45,Inhibitory,fast
0.27,382.36456,0.36568373,35–45,Inhibitory,fast
0.29000000000000004,381.91367,0.37003255,35–45,Inhibitory,fast
0.31,381.9939,0.37483722,35–45,Inhibitory,fast
0.33,383.72446,0.3774897,35–45,Inhibitory,fast
0.35,386.4383,0.38006523,35–45,Inhibitory,fast
0.37,391.0253,0.3874048,35–45,Inhibitory,fast
0.39,393.94205,0.39947718,35–45,Inhibitory,fast
0.41000000000000003,399.16284,0.41798913,35–45,Inhibitory,fast
0.43,404.79202,0.43888927,35–45,Inhibitory,fast
0.45,410.9672,0.46448368,35–45,Inhibitory,fast
0.47,419.26215,0.48710248,35–45,Inhibitory,fast
0.49,429.0267,0.5181302,35–45,Inhibitory,fast
0.51,437.65897,0.5410843,35–45,Inhibitory,fast
0.53,444.3317,0.5528214,35–45,Inhibitory,fast
0.55,452.97156,0.57413787,35–45,Inhibitory,fast
0.5700000000000001,461.90005,0.5939794,35–45,Inhibitory,fast
0.59,469.48935,0.60622174,35–45,Inhibitory,fast
0.61,474.89166,0.61654824,35–45,Inhibitory,fast
0.63,481.3837,0.63126844,35–45,Inhibitory,fast
0.65,485.77982,0.6423579,35–45,Inhibitory,fast
0.67,485.03543,0.64635414,35–45,Inhibitory,fast
0.69,482.75186,0.6410713,35–45,Inhibitory,fast
0.71,479.45862,0.63977057,35–45,Inhibitory,fast
0.73,476.23434,0.6364756,35–45,Inhibitory,fast
0.75,471.08685,0.6171414,35–45,Inhibitory,fast
0.77,465.39133,0.5968682,35–45,Inhibitory,fast
0.79,458.73203,0.57609534,35–45,Inhibitory,fast
0.81,451.9112,0.549434,35–45,Inhibitory,fast
0.83,447.11063,0.53714055,35–45,Inhibitory,fast
0.85,440.96503,0.5200163,35–45,Inhibitory,fast
0.87,435.74927,0.4993605,35–45,Inhibitory,fast
0.89,430.21582,0.481221,35–45,Inhibitory,fast
0.91,424.22455,0.46434686,35–45,Inhibitory,fast
0.9299999999999999,418.8735,0.44770414,35–45,Inhibitory,fast
0.95,411.65646,0.41792247,35–45,Inhibitory,fast
0.97,406.08737,0.3951593,35–45,Inhibitory,fast
0.99,403.55142,0.37835556,35–45,Inhibitory,fast
0.0095,465.3067,0.37768665,45+,Inhibitory,fast
0.03,464.4809,0.36305973,45+,Inhibitory,fast
0.05,465.20712,0.3644758,45+,Inhibitory,fast
0.07,467.6586,0.36060283,45+,Inhibitory,fast
0.09,469.58548,0.3640885,45+,Inhibitory,fast
0.11,469.19397,0.36207375,45+,Inhibitory,fast
0.13,469.1173,0.3596528,45+,Inhibitory,fast
0.15000000000000002,466.77377,0.35592127,45+,Inhibitory,fast
0.16999999999999998,467.60886,0.36145914,45+,Inhibitory,fast
0.19,467.58914,0.3615085,45+,Inhibitory,fast
0.21000000000000002,468.7751,0.37713686,45+,Inhibitory,fast
0.22999999999999998,467.03574,0.37648582,45+,Inhibitory,fast
0.25,467.13736,0.3728044,45+,Inhibitory,fast
0.27,468.55283,0.37594736,45+,Inhibitory,fast
0.29000000000000004,470.4403,0.38003942,45+,Inhibitory,fast
0.31,472.58038,0.3866021,45+,Inhibitory,fast
0.33,475.68106,0.39350095,45+,Inhibitory,fast
0.35,483.46536,0.4037406,45+,Inhibitory,fast
0.37,492.95682,0.4179979,45+,Inhibitory,fast
0.39,502.90613,0.42970794,45+,Inhibitory,fast
0.41000000000000003,512.12726,0.44801432,45+,Inhibitory,fast
